scale,notch,art,burst,model,combination,pid,test_recall,train_recall,test_f1,train_f1,test_accuracy,train_accuracy,test_n
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,4,0.6032679738562092,0.6212086625695055,0.48133852674926675,0.5641680417110585,0.5114133986928104,0.5231159420289855,170.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,5,0.4,0.4983333333333334,0.29561904761904756,0.4340540352930239,0.51,0.5116666666666665,60.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,6,0.5176623376623376,0.5031025991792066,0.48283399420909506,0.5044216669996382,0.5002597402597403,0.5137564979480164,214.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,7,0.5028758169934641,0.46372670807453426,0.43717411843614046,0.3969257020777043,0.5056209150326797,0.49689440993788825,174.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,8,0.52,0.502142857142857,0.4709887462180841,0.5079501651053215,0.5042857142857142,0.5144642857142856,280.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,9,0.831304347826087,0.8165217391304347,0.6138262438173606,0.6187255306550441,0.5052173913043478,0.5104347826086957,230.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,10,0.5443809523809524,0.517253478523896,0.48258427873523424,0.522385804029741,0.47990476190476195,0.5273502722323048,144.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,11,0.507983870967742,0.5241644794400699,0.4332584179501945,0.5188202329528588,0.5171370967741936,0.550673665791776,316.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,12,0.3203636363636363,0.352390243902439,0.2890127124337651,0.37121124357576374,0.5081818181818182,0.5122439024390244,102.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,13,0.843859649122807,0.8403963963963964,0.5958160815219639,0.6026586198295545,0.489766081871345,0.4851927927927928,186.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,14,0.45166666666666666,0.45600000000000007,0.44120933961535086,0.47221005779751213,0.4968,0.5096747474747475,248.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,15,0.4208695652173913,0.43525966598032484,0.34539597645554565,0.41614130922261666,0.4855434782608696,0.5083093113703958,234.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,17,0.5634882154882155,0.5229323975817021,0.4738996476666755,0.5053832497947284,0.49159595959595964,0.5144358009554812,544.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,18,0.32282051282051283,0.2969926630653874,0.3200597357744597,0.3400005746302811,0.5051282051282051,0.49925340643392724,394.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,20,0.666012605042017,0.6714831842410011,0.5317672496689461,0.5369817309536462,0.5293665966386555,0.5396035072004132,338.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,21,0.6353684210526315,0.5095379746835442,0.49937362852328365,0.5158552019981358,0.5056842105263157,0.5226898734177216,198.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,22,0.4342857142857143,0.4114285714285715,0.41454036463584787,0.44080069839393865,0.48571428571428577,0.4817857142857142,140.0
